"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-07-01","2833.5571","2867.2519","2831.1066","2843","0.68","6707775484.14"
"NEPSE","2021-06-30","2835.67","2844.19","2782.01","2823.88","-1.00","5838551435.49"
"NEPSE","2021-06-29","2880.34","2890.16","2823.21","2828","-1.65","6726361869.27"
"NEPSE","2021-06-28","2898.42","2901.99","2861.55","2871.6969","0.15","7725594965.5"
"NEPSE","2021-06-27","2856.05","2883.02","2834.42","2870.18","0.96","7167432728"
"NEPSE","2021-06-24","2871.66","2873.76","2833.06","2843","-0.58","7033603739.5"
"NEPSE","2021-06-23","2939.05","2940.03","2856.84","2859.96","-1.87","8362671680.5"
"NEPSE","2021-06-22","2844.7","2914.43","2824.04","2913.84","2.79","10286269957"
"NEPSE","2021-06-21","2924.07","2924.48","2828.62","2834.41","-2.45","11619035673.5"
"NEPSE","2021-06-20","2975.25","2980.27","2880.57","2905.32","-2.20","11819428288.5"
"NEPSE","2021-06-17","2982.97","2990.01","2944.89","2968.42","-0.11","10904958935"
"NEPSE","2021-06-16","2989.55","3031.73","2943.3","2969.72","-1.86","15484479318.5"
"NEPSE","2021-06-15","3061.81","3064.07","3012.95","3022.11","-0.22","16528749738.5"
"NEPSE","2021-06-14","3009.46","3051.02","3009.15","3025.83","1.39","18884031518.5"
"NEPSE","2021-06-13","2965.77","2984.24","2957.13","2983.11","1.23","19550166636"
"NEPSE","2021-06-10","2968.09","2971.89","2925.74","2944.78","-0.07","16100412435.5"
"NEPSE","2021-06-09","2995.08","3005.9","2933.62","2946.58","-0.52","16997092703.41"
"NEPSE","2021-06-08","2931.18","2960.29","2925.49","2960.14","1.84","16951320640"
"NEPSE","2021-06-07","2928.09","2933.54","2892.23","2906.7","-0.00","15818659062.5"
"NEPSE","2021-06-06","2884.07","2920.21","2880.47","2906.91","1.72","17271787524.5"
"NEPSE","2021-06-03","2833.84","2876.11","2833.63","2856.77","1.00","16907020286"
"NEPSE","2021-06-02","2793.22","2827.29","2770.83","2827.13","1.86","11351815356"
"NEPSE","2021-06-01","2790.72","2799.85","2751.65","2771.15","-0.51","8598160117"
"NEPSE","2021-05-31","2842.28","2851.18","2781","2782.86","0.32","13604619431.2"
"NEPSE","2021-05-30","2836.11","2854.8","2814.72","2827.93","0.42","17028432244.91"
"NEPSE","2021-05-27","2784.59","2836.06","2760.86","2815.4","-0.01","14768808492.24"
"NEPSE","2021-05-25","2828.07","2836.24","2803.72","2816.6","-0.26","11133398107.56"
"NEPSE","2021-05-24","2840.21","2850.73","2807.33","2823.05","0.02","13175353187.83"
"NEPSE","2021-05-23","2768.87","2820.6","2737.43","2820","0.96","11695034728.26"
"NEPSE","2021-05-20","2807.53","2807.53","2775.89","2787.19","0.24","9305222003.6"
"NEPSE","2021-05-19","2816.26","2822.23","2769.2","2780.81","-0.62","11958097410.72"
"NEPSE","2021-05-18","2784.6","2794.96","2766.71","2793.81","1.24","11359360091.96"
"NEPSE","2021-05-17","2748.83","2771.22","2747.82","2759.22","0.73","9576361139.17"
"NEPSE","2021-05-16","2693.91","2738.59","2693.91","2738.3","2.02","10403879000.34"
"NEPSE","2021-05-13","2701.92","2702.74","2679.03","2684.01","0.37","7126885280.36"
"NEPSE","2021-05-12","2685.41","2688.75","2664.04","2673.88","-0.07","5326052801.48"
"NEPSE","2021-05-11","2647.48","2680.91","2645.77","2673.32","0.98","5810673070.66"
"NEPSE","2021-05-10","2613.18","2647.07","2607.78","2645.85","1.02","4203832788.74"
"NEPSE","2021-05-09","2652.58","2652.6","2613.32","2618.63","-0.72","6148966772.34"
"NEPSE","2021-05-06","2657.2","2659.09","2626.08","2637.13","-0.47","6810091452.53"
"NEPSE","2021-05-05","2675.95","2676.57","2648.52","2649.6","-0.19","6216814313.04"
"NEPSE","2021-05-04","2652.27","2663.64","2640.54","2654.03","0.07","5894773562"
"NEPSE","2021-05-03","2676.46","2694","2645.71","2652.58","-0.46","7529290146"
"NEPSE","2021-05-02","2627.82","2665.11","2610.81","2665.11","2.07","7360800500.33"
"NEPSE","2021-04-29","2601.21","2612.29","2582.35","2611.11","1.00","4357019248.68"
"NEPSE","2021-04-28","2606.56","2622.66","2563.95","2585.28","-0.53","3990431235.93"
